15.7 22.1 17 16.6 1.8 7.3 23.3 49.8 33.6 17.1
32.4 55.8 11.4 33.3 22.4 11 3.5 0 0.1 0.6
30.7 121.3 157.5 8.4 6.4 19.6 22 4.5 0 0
2.1 29.3 NA 50 43.6 17.4 7.3 26.7 70.8 3.6
6.2 88.1 2 43 103.9 183.5 24.9 73.3 42.9 2.6
109 8.1 7.9 0 5 0 82.2 21.3 59.8 102.7
20.7 21 56.9 13.3 26.4 8.3 34.8 12.1 9.4 32.4
128.1 139.3 7.9 0 10.8 30.8 9 35.4 98 45.9
47 34.4 41.8 41.6 23.1 6.6 7 19 4.4 0.3
59.2 7 0 32.9 149.2 29.4 46.2 29.9 11.9 11.8
11.2 0 104.1 39.9 97.8 14.5 389.4 112.1 39.5 0
44.8 53.3 8.5 0 11.4 58.9 37.5 341.9 196.5 25.9
145.2 42 90.1 1.7 1.3 43.4 6.5 40.5 171.5 35.8
31 57.9 134.9 87.3 92.2 0 37 7.9 109 0
37.5 71.9 169 75.1 36 5.3 30.5 34.7 23.8 92.2
0 0 68.8 30.8 48.1 33 169.6 24.7 31.1 110
3.9 48.9 84.5 36.2 85.9 17.5 95.2 122.8 18.8 36.6
44.3 51.4 24.5 6.8 4.1 0 180 113 175.8 62.6
40.1 0 17.7 39.8 65.5 17.8 49.2 131.3 242.4 23.9
54.1 87.1 101.6 1.4 0 12.7 26.2 5.5 0 114.8
9.7 160.7 106.5 15.7 38.4 25.7 18.6 17.5 0 89.6
0 7.4 51.1 100.9 11.6 218.2 24.8 13 102.8 3
26.4 0 0 0 27.1 72.5 127.9 149.3 47.9 2.3
191.2 0.5 27.3 0 0 2.1 82.4 76.9 161.7 58.5
64.5 6.8 107.5 79 16.6 64.8 36.1 94.5 59.8 87.4
148.6 69.9 40.1 24 96.1 9.8 15.6 87.7 0 11.3
276.7 388.4 43.9 68.2 88.2 8.5 94.3 3.5 25.5 0
109.4 13.4 58.5 113.1 89.7 19.4 15.1 35.4 190.7 10.5
4.3 0 6.5 16.4 50.7 142.1 43.2 27 33.8 38.7
147.3 34.5 3.2 0 NA 0 143 165.3 289.5 79.3
52.5 0 32 38.4 20.6 67.9 4 99.1 207.8 26.1
68.7 96.9 29.4 68.9 13.6 35.8 4.7 5.8 1.9 23.6
63.9 107.1 64.9 13.1 0.2 59.5 44.8 51.1 66.6 63.6
44 0 112.6 60.7 359.8 32 51.3 12.8 23.2 19.5
7.4 5 16.9 32.5 25.1 102.3 82.3 70.7 90.1 67.8
100 0.9 0.2 6.3 0 137 174.9 26 82.6 6
53.2 23.6 149.7 51.3 46.7 5.6 0 47.8 71.7 233.6
148.6 33.5 14.9 90.5 261.2 69.7 1 NA 76.4 2.1
50.2 97.5 37 14.2 31.7 34 143 5.2 25.4 0.4
0 6.5 62.2 29.5 131 24.9 30 2.1 88 0.5
15.8 0.5 0 0 24.4 58.7 184 57.1 0 5.5
114 0 5.6 0.9 0 167.8 61.7 51.2 32.3 65.1
178.1 18.5 37.5 39.2 0.5 0 2.2 76.8 31.6 24.2
78 41.4 4.5 73.9 31.4 35.4 17.8 29.7 0 70.5
20.2 4.2 67.5 63.1 13.2 12.9 18.9 11.8 25.8 62.1
0 53.2 17.4 10.1 155.7 165 94.7 0 173.8 4.6
3.1 36.9 57.3 62.2 145.1 105.4 9.1 12.3 14.1 52.9
60.3 21.3 10.8 29.5 0.5 30.4 22.2 15.7 178 155.4
0 43.1 27.6 13.4 6.7 2 0 13.6 135.6 82.7
113.9 20.8 6 146.2 214.1 62.7 1.9 0 0 8.6
60.7 171.3 0 7.8 55.9 14.5 22.7 3.5 24.5 12.4
98.4 19.5 100.3 132 9.4 26.3 87.3 24.6 24.6 62
9.8 11.1 0 28 16.2 29 48 160.7 24 15.9
31.3 68.5 6.3 37.1 0 25.4 71.2 1.2 306.1 142.2
98.5 147.8 94 13.3 61.3 10.5 8.7 152.5 22.1 121.9
52.1 76.1 82.4 7.3 106.7 6 44.4 23.4 68.9 0
94.6 98.8 102.5 20.3 11.6 30.9 147.8 NA 31.8 7
0 56.7 96.3 32.9 96.2 43.4 99.2 21.3 60.6 18.8
60.1 26.5 0 73.3 88.6 80.6 60.5 25.2 31.6 31.2
79.4 8.2 0.6 0.4 42 21.6 187 100.1 27.6 165.3
51.6 31.3 16.7 19.2 0 75.9 0 0 43.3 88
20.6 183.3 78.7 26.1 67.6 57.6 14.1 30.1 1.2 85.3
78.7 252 138.2 50 6.4 97.8 279.3 90.2 11 0.6
87.3 81.2 9.3 153.2 NA 0 26.2 8.2 27.4 21.9
11.5 11.2 0 33.4 73.1 38 134.4 73.6 8.6 71.5
99 25.4 21.1 4.1 37.8 63.3 50 74.8 68.2 213.6
4.7 25.8 139.6 9.6 45.6 5.7 3.1 87.1 141.9 31.3
119.6 36.1 39.1 65.8 NA 27 4.3 0 26.4 0
133.5 46.9 331.2 29.3 54.5 7.3 71.6 38.8 12.2 1.6
7.3 0 290.5 58.3 40.5 130.8 52.6 44.4 94.8 59.8
4 5 0 125.2 46.1 8.1 191.6 89.9 113.8 81.8
64.1 8.4 39.5 14 0 58.8 96.6 73 33.1 73.7
63.3 50.1 7 22.6 0 0 73.1 103.3 67.6 50.8
112.5 190.6 82.8 98 41.3 12.7 0.4 8.6 0 0
6.7 240.2 202.4 29.9 21.2 88.1 8.8 32.7 0 NA
0 70.5 93 100.7 120.9 39.6 28 109.5 52.1 10.3
5.1 44.1 0 60 160.4 553.9 79.1 110.6 55.6 21.7
61.3 42.8 1.3 0 0 0 65.8 141 139.2 88
11.2 47.1 81.7 59.5 3.6 12.7 3.6 50.9 9.4 68.3
176.2 353.7 19.4 NA 9.4 33.4 6.7 18.7 49.1 158.1
18.1 65.9 130.2 57.1 42.1 32.3 30.2 94 6.9 0.9
0 132.1 2.2 132.1 183 66.1 26.8 70.8 7.1 7.4
3.4 0 50.7 84.5 87.6 15.4 250.5 80.8 50.6 5
29.9 196.4 3.1 0 0 94.9 6 272.9 203.7 18.1
127.1 75.5 71.8 10.1 0 16.4 0 142.6 103.9 76.1
40.3 117.5 108 78.1 8.3 11 9.8 20.4 34.1 0
1.9 108.8 195.9 204.6 54.9 10 10.8 71.7 29.2 NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
87.7 16.8 NA 0 0 0 25.9 140.9 316 45.1
91.8 16.7 70.2 237.9 9.2 16.2 2.6 176.1 16.2 149.7
58.6 111.1 29.6 68.4 67.7 7.2 2 34.2 0 65.8
88.1 327.3 168.3 56.6 43.2 5.1 29.6 20.4 13 10.7
59.1 15.8 16.7 64.1 90.2 0 18.5 55.3 52.1 41.3
2.4 22.6 9.4 49.3 4.9 244.8 142.4 32.7 22.1 25.7
65 43.1 1.7 0 1.2 0 57.2 92.5 188.8 66.3
29.9 7.3 5.7 24.7 24.2 27.8 17.8 91 76.9 36.5
95.1 43.7 35.9 58.3 0 24.1 0.5 0 0 50.3
25 60.4 268.8 0 7 NA 36.6 33 NA 12.8
1.9 0 133.2 187.4 294.3 51 46.8 7.5 2.5 12.7
0.1 16 0 78.8 19.6 59 156.8 156.9 42.2 87.3
50.8 7.7 0.6 7.8 0 143.4 45.5 24.3 57.5 0
51.4 27.5 60.2 100.5 12.9 6.2 0.1 59.8 50.1 257.4
116.1 75.6 18.9 175.6 73 129.7 0 0 5.5 25.6
16.6 281.6 50.7 3.2 19.1 46.7 55.2 33.2 6.4 6.7
1.4 24.2 44.8 28 66.6 23.9 50.9 NA 51.9 4.6
11.7 1.3 0 0 11 156.6 185.9 123.3 5.2 NA
19.8 1.4 0.2 1.3 0 114.4 22.8 22.3 66.4 126.9
53.8 42.9 35.8 82.7 0.9 0.8 9.2 108.3 39.8 111.6
63.1 114.6 32.2 16.5 33 49.7 8.9 12.2 2.4 90.5
9.8 10.5 278.1 158.1 17 29 9.9 59 2.6 23.2
0 88.1 NA 7.5 273.7 262.2 45.3 24 91.2 15.1
0 NA 34.3 46.3 64.5 236.5 16.4 18 25.6 82.6
45.9 66.5 10 4.3 183.1 130.1 36.1 23.2 280.1 209.2
2.2 78 10 76.3 6.8 NA 0 0 13 NA
210.8 36 16.6 116.4 95 135.3 0.1 0 NA 90.7
26.8 150.5 86.7 3.2 40.8 12.4 28.6 5.2 21 34.4
115.7 0 62.7 75.1 93.8 43.9 58.9 30.2 15.1 97.6
11.6 0 5.1 17.8 0 49.2 206.6 185.5 21.4 5.5
10.5 32.2 8.4 3.3 40.1 130.1 28.2 1.4 176.9 68.5
56.5 82.2 38.7 79 24.1 31.5 0 140.6 74 104.8
66.6 50 27.4 13.2 9.7 26 9.9 5.1 38.8 41
0 75.1 85.2 20.5 17.7 65.4 49.2 30.9 5 16.6
0 54.3 23.7 69 155.9 26.7 51.4 41.4 31.2 24.1
21 26 0.9 53.3 28.8 150.5 35 51.3 8.3 74.8
60.8 26.7 0.1 0 113.2 28.6 52.5 166.5 84.6 177.5
42.5 35.9 18.2 32.3 0 41.8 2.8 12.3 25.9 64.6
26.8 299 75.1 36.7 43.8 81.9 9 0.5 2.7 83
40.9 285.6 106.3 38.4 18.2 137.6 161.5 179.3 2.7 NA
43 66.1 44.3 157.4 93.2 0 21.5 31.6 51.4 57.8
3.9 NA 0 83.4 63.1 32.9 258.9 190.1 13.1 127.5
40.1 32.1 6.3 15.4 23.5 41.8 3.3 57.6 182.7 256.5
15.2 57.2 37.8 13.1 15 8.3 0 143.2 26.5 28.3
118.2 90.1 45.7 97 13.5 61.1 NA 0.9 0 0
19.4 168.1 234 23.5 70.6 19.5 41.9 NA 1.4 2
0 0 207.2 67.6 49.3 254.2 61.2 61.3 95.5 156.3
NA 3.1 0 104.2 22.6 78.1 295.2 96.3 86.2 91.8
25.3 36.4 18.5 3.6 0 166.5 44.5 111 29.1 21
58.8 18.6 16.3 47.1 0.4 8 3.4 96.9 48.7 92.8
64.7 122.3 98.9 81.3 21.1 19.7 1.6 NA 0 0
4.6 268.2 171.5 19.8 18.1 53.5 12.4 32 2.3 0
0 113.8 57.9 55 68.7 9 8.8 57.9 63.8 18.4
9.2 44 0.5 69.1 81.1 696.9 38.2 98 65.2 8.8
56.8 63.3 1.5 0.3 22.4 41.1 41.1 228.5 152.5 74.8
11.3 51.1 27.3 90.9 26.6 4.1 25.7 110.4 17.2 91
147.2 153.7 31.3 2.9 13.1 53 20.2 18 36.9 206.7
33.7 31.7 83.3 39.7 50.2 30.5 9.2 101 9.5 2.9
10.5 128 10.2 128.8 156.7 29.5 21.9 38.3 3.8 33.2
8.3 0 65.2 71.6 35.3 NA 290.2 101.8 61.4 5.7
40.6 110 6.1 1.6 1.8 191.9 15.4 411.3 242.1 15.8
207.1 30.1 60.4 25.9 0 20.3 0 120.7 114.1 155.4
36.9 65.2 124.4 77.6 13 14.9 26.5 8.9 52.6 0
0 92.6 112.3 79.8 45.7 9.1 22.9 66.4 54.2 20.9
1.2 0 34.5 NA 20.4 14.6 76.8 38.5 66.8 233.1
1.3 19.2 112.9 48 6.8 20.4 59.7 52.4 23.5 22.2
56.9 69.8 35.8 26.3 35.1 52.8 138.4 152.2 153.9 55.1
34 0 16.4 130.3 36.1 35.6 4.6 162.6 16.2 78.2
68.8 71.7 115.9 0 0 70.8 7.5 8.8 0 274.1
9.5 263.4 162.2 22.1 64.7 42.1 5.5 NA 0.1 55.1
0 46.6 19.4 81.8 4.2 233 60.8 0.5 83.2 18.9
18.2 0 0.5 58.3 22.7 120.6 167.4 71.3 60.8 11.3
70.8 30.5 36.6 2.5 0.6 0 12.3 91.6 214.7 47.1
72.8 19.6 48.3 305.9 3.1 10.1 7.5 226.5 9 189.9
78.2 49.3 30.5 64.1 57.2 23.3 6.4 37 7.1 103.7
91.3 603.3 89 58.4 38.2 7.3 48.4 47.4 9.9 5.1
86.5 0 25.2 84.1 133.5 11.6 46.6 56.8 46.4 67.8
4.4 26.6 0.3 92.4 5.8 268 129.6 16.6 39.2 24
91.3 54.5 4.3 0.8 0 0 74.1 66.9 141.8 61.1
53.5 1.3 11.6 96.5 21.1 40.7 1.5 333.2 63.3 22.1
153.9 93.1 50.5 62.5 8.1 100.4 6 0 0 115.5
24.8 149.3 265.9 6 4 44 34.7 120.3 59.7 17.7
17 0 70.8 173.3 244.6 63.7 66.4 9.6 11.2 49.8
NA 8.1 3.6 256.7 5.7 37.7 83.4 106.6 55.7 66.3
35.2 8.5 2.5 6 11.7 239.8 23.6 55.8 51.1 8.4
80.7 34.2 55.6 149.6 19.4 7 0.4 58.8 25.6 366.7
100.2 54 18.5 111.3 57.5 163.8 1.2 0 3 81
1.8 251.7 36 11 21.8 24 37.4 36.9 28.9 18.3
0.1 44.5 11 61.7 110.3 50.8 43.3 4.4 52.2 29.3
16.9 0.4 0 0 7.6 112.5 211.4 91.2 0 6.6
18.6 0 0.2 0 0 275.7 38.9 33.7 39.8 86.8
107.1 21 44.2 91.5 2.7 1.8 0.4 NA 13.6 87
97.2 59.1 35.3 25.2 37.4 57.6 4.8 12.7 0 197.7
3.9 17.2 132.2 110.1 10.4 47.2 13.2 76.9 1.3 16.6
16.4 158.1 8.8 13.2 135.4 118.6 63.7 15 77.9 61.2
0.6 39.6 12.1 228.2 25.3 266.4 17.4 41.7 21.1 62.2
36.9 49.6 5.8 10.1 66.6 77 26.4 63.6 147.1 178.8
0 35.3 7.9 101.7 8 0 0 46.2 28.2 298.4
78 23.5 7.8 NA 95.9 85.3 0.1 0.2 0.4 47.9
19.6 289.2 67 12 71.8 13.1 27.4 14.5 30.6 10.1
57 0 17.3 106.2 63.9 24.4 70.3 14 23.4 112.1
14.4 0 15 0 3.6 106.9 119.3 102.3 34 18
25.1 98.1 8.3 8.3 2.9 225.3 38.1 0 178.2 NA
106.8 92.8 28.8 75.8 31.3 13.3 0.4 202 24 121.4
37.9 37.5 97.9 7.5 20.3 17.5 17.3 4.2 3.9 79.7
0 153.6 145 9 13.3 68.2 50.9 NA 31 23.6
0 58.8 2.9 44.8 159.8 12.7 92.6 58 31.9 41.2
27.3 23.7 0 79.6 20.1 292.1 31.9 51.5 13.6 82.1
38.4 20 1.3 1 31.9 67.1 31.4 144.8 36 127.9
80.3 49.4 34.1 30.6 0 34.7 0.4 46.5 51.9 77.3
20 167.3 101.3 10.9 66.7 87 20.4 6.1 0.2 63.4
42.1 392 91.4 13.5 19.1 135.6 180.1 117.1 4.2 2.3
54.1 90.6 6.8 126.8 51.8 4.6 14.9 7 35.5 93.2
2 14.4 0 165 49.8 28.6 NA 205.9 13.3 47.2
28.2 71.5 39.6 7.3 63.8 111 0.8 117.5 240.3 214.5
10.3 43.9 19.6 32.5 21.5 9.4 0 142.4 10.4 39.5
110 60.8 47 101 12.4 76.5 3.2 2.5 0 0
27.5 212.3 188.7 22.4 50.1 10.9 20.3 89.2 4.2 0
